num_voters,num_alternatives,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.249,0.033,0.157,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.249,0.035,0.162,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.25,0.031,0.177,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.25,0.027,0.154,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.251,0.03,0.173,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.252,0.031,0.174,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.253,0.035,0.171,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.253,0.032,0.17,0.0
16,20,MALLOWS-RELPHI-R,Borda,0.254,0.039,0.169,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.254,0.032,0.147,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.255,0.033,0.185,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.255,0.035,0.147,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.255,0.034,0.168,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.256,0.036,0.146,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.256,0.029,0.161,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.257,0.032,0.18,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.257,0.033,0.163,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.26,0.037,0.166,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.262,0.032,0.184,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.264,0.031,0.154,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.265,0.03,0.178,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.266,0.033,0.179,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.266,0.027,0.194,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.267,0.033,0.202,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.268,0.032,0.195,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.268,0.03,0.188,0.0
16,20,MALLOWS-RELPHI-R,Borda,0.271,0.04,0.193,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.272,0.035,0.161,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.273,0.034,0.161,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.275,0.029,0.183,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.275,0.024,0.206,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.276,0.037,0.177,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.277,0.038,0.171,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.277,0.036,0.208,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.278,0.036,0.19,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.286,0.036,0.179,0.0
16,20,MALLOWS-RELPHI-R,Borda,0.286,0.04,0.183,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.286,0.037,0.184,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.289,0.032,0.192,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.289,0.028,0.201,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.289,0.03,0.212,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.291,0.031,0.229,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.296,0.037,0.193,0.0
64,20,MALLOWS-RELPHI-R,Plurality Veto,0.3,0.035,0.197,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.304,0.034,0.185,0.0
256,20,MALLOWS-RELPHI-R,Anti-Plurality,0.306,0.032,0.201,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.306,0.037,0.183,0.0
256,20,MALLOWS-RELPHI-R,Plurality,0.31,0.035,0.216,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.315,0.032,0.224,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.319,0.03,0.214,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.319,0.032,0.24,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.323,0.029,0.24,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.323,0.03,0.233,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.326,0.037,0.217,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.332,0.033,0.233,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.333,0.037,0.211,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.333,0.033,0.238,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.334,0.036,0.213,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.334,0.03,0.242,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.334,0.039,0.244,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.335,0.036,0.241,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.335,0.032,0.221,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.339,0.032,0.232,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.341,0.031,0.226,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.342,0.034,0.224,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.342,0.036,0.213,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.343,0.038,0.241,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.344,0.035,0.229,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.344,0.033,0.247,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.345,0.038,0.215,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.348,0.035,0.224,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.348,0.036,0.204,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.349,0.035,0.255,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.349,0.037,0.222,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.349,0.034,0.228,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.353,0.031,0.258,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.353,0.031,0.256,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.353,0.032,0.257,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.354,0.034,0.22,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.355,0.033,0.252,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.355,0.036,0.254,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.356,0.032,0.26,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.356,0.032,0.241,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.356,0.037,0.248,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.357,0.038,0.238,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.36,0.036,0.235,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.361,0.035,0.244,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.363,0.038,0.269,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.364,0.035,0.245,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.364,0.033,0.261,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.364,0.037,0.268,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.365,0.041,0.261,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.366,0.039,0.269,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.366,0.034,0.256,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.367,0.036,0.249,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.37,0.036,0.291,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.373,0.036,0.241,0.0
64,20,MALLOWS-RELPHI-R,Anti-Plurality,0.373,0.037,0.278,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.374,0.04,0.254,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.376,0.038,0.265,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.377,0.038,0.25,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.378,0.036,0.248,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.379,0.031,0.305,0.0
64,20,MALLOWS-RELPHI-R,Plurality,0.382,0.035,0.289,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.39,0.036,0.235,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.39,0.039,0.252,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.392,0.035,0.263,0.0
16,20,MALLOWS-RELPHI-R,Plurality Veto,0.393,0.04,0.257,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.415,0.032,0.322,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.42,0.027,0.31,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.425,0.035,0.335,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.425,0.034,0.308,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.426,0.03,0.304,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.428,0.032,0.327,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.43,0.03,0.335,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.43,0.03,0.335,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.431,0.032,0.326,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.432,0.031,0.344,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.433,0.035,0.304,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.434,0.031,0.356,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.436,0.036,0.36,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.436,0.028,0.333,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.437,0.03,0.33,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.437,0.032,0.348,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.438,0.032,0.353,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.438,0.024,0.341,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.439,0.031,0.319,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.439,0.031,0.361,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.44,0.034,0.332,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.44,0.029,0.347,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.44,0.028,0.362,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.44,0.026,0.372,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.441,0.028,0.343,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.441,0.032,0.361,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.441,0.029,0.34,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.444,0.027,0.345,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.444,0.028,0.352,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.444,0.031,0.329,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.445,0.028,0.335,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.448,0.031,0.323,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.45,0.031,0.364,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.451,0.031,0.338,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.451,0.028,0.351,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.453,0.031,0.324,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.454,0.031,0.368,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.456,0.032,0.338,0.0
16,20,MALLOWS-RELPHI-R,Anti-Plurality,0.457,0.03,0.335,0.0
16,20,MALLOWS-RELPHI-R,Plurality,0.461,0.03,0.365,0.0
16,20,MALLOWS-RELPHI-R,Random,0.492,0.079,0.502,0.08
16,20,MALLOWS-RELPHI-R,Random,0.494,0.082,0.503,0.081
256,20,MALLOWS-RELPHI-R,Random,0.494,0.077,0.5,0.079
64,20,MALLOWS-RELPHI-R,Random,0.495,0.08,0.502,0.078
64,20,MALLOWS-RELPHI-R,Random,0.496,0.082,0.498,0.079
256,20,MALLOWS-RELPHI-R,Random,0.496,0.082,0.497,0.08
64,20,MALLOWS-RELPHI-R,Random,0.496,0.081,0.503,0.08
16,20,MALLOWS-RELPHI-R,Random,0.497,0.08,0.498,0.078
16,20,MALLOWS-RELPHI-R,Random,0.497,0.079,0.504,0.081
64,20,MALLOWS-RELPHI-R,Random,0.497,0.081,0.502,0.076
256,20,MALLOWS-RELPHI-R,Random,0.497,0.079,0.503,0.08
64,20,MALLOWS-RELPHI-R,Random,0.497,0.082,0.5,0.078
256,20,MALLOWS-RELPHI-R,Random,0.498,0.08,0.502,0.08
256,20,MALLOWS-RELPHI-R,Random,0.498,0.082,0.502,0.081
16,20,MALLOWS-RELPHI-R,Random,0.498,0.078,0.5,0.083
64,20,MALLOWS-RELPHI-R,Random,0.498,0.079,0.498,0.08
16,20,MALLOWS-RELPHI-R,Random,0.498,0.083,0.497,0.079
16,20,MALLOWS-RELPHI-R,Random,0.498,0.078,0.503,0.079
16,20,MALLOWS-RELPHI-R,Random,0.498,0.078,0.496,0.08
64,20,MALLOWS-RELPHI-R,Random,0.498,0.078,0.503,0.081
16,20,MALLOWS-RELPHI-R,Random,0.498,0.08,0.499,0.079
256,20,MALLOWS-RELPHI-R,Random,0.498,0.08,0.499,0.08
64,20,MALLOWS-RELPHI-R,Random,0.498,0.08,0.5,0.079
16,20,MALLOWS-RELPHI-R,Random,0.499,0.077,0.502,0.079
16,20,MALLOWS-RELPHI-R,Random,0.499,0.08,0.502,0.077
256,20,MALLOWS-RELPHI-R,Random,0.499,0.079,0.5,0.08
16,20,MALLOWS-RELPHI-R,Random,0.499,0.082,0.502,0.081
16,20,MALLOWS-RELPHI-R,Random,0.499,0.079,0.5,0.08
64,20,MALLOWS-RELPHI-R,Random,0.499,0.08,0.502,0.08
16,20,MALLOWS-RELPHI-R,Random,0.499,0.079,0.497,0.081
64,20,MALLOWS-RELPHI-R,Random,0.499,0.079,0.498,0.084
64,20,MALLOWS-RELPHI-R,Random,0.499,0.082,0.502,0.08
64,20,MALLOWS-RELPHI-R,Random,0.499,0.081,0.498,0.079
256,20,MALLOWS-RELPHI-R,Random,0.5,0.081,0.501,0.078
256,20,MALLOWS-RELPHI-R,Random,0.5,0.081,0.5,0.082
16,20,MALLOWS-RELPHI-R,Random,0.5,0.077,0.499,0.081
64,20,MALLOWS-RELPHI-R,Random,0.5,0.079,0.5,0.078
64,20,MALLOWS-RELPHI-R,Random,0.5,0.082,0.502,0.078
256,20,MALLOWS-RELPHI-R,Random,0.501,0.079,0.5,0.081
16,20,MALLOWS-RELPHI-R,Random,0.501,0.078,0.503,0.082
256,20,MALLOWS-RELPHI-R,Random,0.501,0.08,0.498,0.079
16,20,MALLOWS-RELPHI-R,Random,0.501,0.079,0.498,0.079
256,20,MALLOWS-RELPHI-R,Random,0.501,0.079,0.5,0.08
64,20,MALLOWS-RELPHI-R,Random,0.501,0.081,0.496,0.078
64,20,MALLOWS-RELPHI-R,Random,0.502,0.079,0.501,0.078
64,20,MALLOWS-RELPHI-R,Random,0.502,0.079,0.495,0.08
16,20,MALLOWS-RELPHI-R,Random,0.502,0.082,0.499,0.078
256,20,MALLOWS-RELPHI-R,Random,0.503,0.077,0.501,0.079
256,20,MALLOWS-RELPHI-R,Random,0.503,0.08,0.498,0.08
16,20,MALLOWS-RELPHI-R,Random,0.503,0.083,0.499,0.08
16,20,MALLOWS-RELPHI-R,Random,0.503,0.081,0.503,0.076
256,20,MALLOWS-RELPHI-R,Random,0.503,0.077,0.501,0.083
64,20,MALLOWS-RELPHI-R,Random,0.504,0.077,0.5,0.082
256,20,MALLOWS-RELPHI-R,Random,0.504,0.08,0.5,0.082
256,20,MALLOWS-RELPHI-R,Random,0.504,0.08,0.502,0.079
256,20,MALLOWS-RELPHI-R,Random,0.504,0.08,0.5,0.077
64,20,MALLOWS-RELPHI-R,Random,0.504,0.081,0.504,0.08
256,20,MALLOWS-RELPHI-R,Random,0.504,0.079,0.499,0.081
256,20,MALLOWS-RELPHI-R,Random,0.504,0.08,0.499,0.079
64,20,MALLOWS-RELPHI-R,Random,0.505,0.079,0.496,0.081
